saddr,daddr,proto,src_mac,dst_mac,sport,dport,flag,N_IN_Conn_P_SrcIP,N_IN_Conn_P_DstIP,length,time,datarate,dns,category
210.117.181.96,115.203.99.104,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,50956,23,24,40652,15,436,93.60187888145447,4.6580261551393445,0,3
210.117.181.96,104.195.130.149,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,60838,23,2,40652,13,180,33.902870178222656,12.946966899104801,0,3
210.117.181.96,1.69.107.87,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,33666,23,2,40652,5,180,4.349210977554321,41.38681727075444,0,3
210.117.181.96,104.195.130.149,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,60840,23,2,40652,13,180,33.902870178222656,12.946966899104801,0,3
210.117.181.96,104.195.130.149,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,60842,23,2,40652,13,180,33.902870178222656,12.946966899104801,0,3
210.117.181.96,168.221.104.212,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,60618,23,2,40652,5,180,4.711977481842041,38.200522114896245,0,3
210.117.181.96,103.9.193.118,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,34358,23,2,40652,5,180,4.64343523979187,38.764404089776434,0,3
210.117.181.96,218.249.92.67,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,40298,23,2,40652,5,180,4.6649391651153564,38.58571218807071,0,3
210.117.181.96,172.65.182.216,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,58104,2323,2,40652,4,180,5.144778490066528,34.986929048071104,0,3
210.117.181.96,92.180.189.159,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,47640,23,2,40652,4,180,4.765862464904785,37.768609842499124,0,3
210.117.181.96,168.184.130.236,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,46928,23,2,40652,3,180,2.828608274459839,63.635534699258926,0,3
210.117.181.96,45.159.186.2,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,41864,23,2,40652,4,180,4.4985034465789795,40.01330712259126,0,3
210.117.181.96,45.176.224.69,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,35468,23,2,40652,3,180,3.32043194770813,54.20981451652453,0,3
210.117.181.96,172.65.74.88,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,44234,23,2,40652,3,180,3.2484142780303955,55.411651530216474,0,3
210.117.181.96,116.11.186.224,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,45924,23,2,40652,4,180,4.508112192153931,39.928021381827634,0,3
210.117.181.96,84.6.112.197,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,44816,23,2,40652,5,180,4.671737432479858,38.52956263093154,0,3
210.117.181.96,182.151.7.8,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,50386,23,2,40652,3,180,3.097842216491699,58.10496062121901,0,3
210.117.181.96,115.203.99.104,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,50956,23,16,40652,15,156,93.60187888145447,1.6666332114718756,0,3
