saddr,daddr,proto,src_mac,dst_mac,sport,dport,flag,N_IN_Conn_P_SrcIP,N_IN_Conn_P_DstIP,length,time,datarate,dns,category
207.249.139.81,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,45200,24,56,1065,2842,53.08245849609375,53.539343890960474,0,4
115.231.249.6,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,51174,24,113,1065,1941,19.703333854675293,98.51124760490373,0,4
115.231.249.6,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,51170,24,113,1065,1894,67.05052495002747,28.24735528038881,0,4
115.231.249.6,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,51172,24,113,1065,1527,11.485658884048462,132.94840247438756,0,4
115.231.249.6,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,51170,46,113,1065,720,67.05052495002747,10.738170961921828,0,4
207.249.139.81,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,45200,46,56,1065,600,53.08245849609375,11.30316901286991,0,4
115.231.249.6,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,51172,16,113,1065,520,41.485658884048462,45.27385022048561,0,4
115.231.249.6,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,51174,16,113,1065,360,49.703333854675293,18.27101964851383,0,4
192.3.183.226,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,58026,24,21,1065,280,46.687808513641357,16.778716017211938,0,4
192.3.183.226,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,58028,24,21,1065,280,46.672898054122925,16.793721109016243,0,4
192.3.183.226,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,58030,24,21,1065,280,46.605854988098145,16.861522649733086,0,4
192.3.183.226,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,58032,24,21,1065,280,46.728458404541016,16.737944001103696,0,4
80.234.112.168,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,55348,16,18,1065,156,1.474015235900879,105.8333701039779,0,4
151.67.73.112,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,38174,18,6,1065,120,2.348848342895508,51.088866747383015,0,4
103.23.30.250,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,42222,16,9,1065,104,0.8053185939788818,129.14143641730843,0,4
103.23.30.250,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,42224,16,9,1065,104,0.7968852519989014,130.50812490145492,0,4
151.67.73.112,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,38174,16,6,1065,104,2.348848342895508,44.27701784773194,0,4
80.234.112.168,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,55350,46,18,1065,104,0.9035947322845459,115.09584583019675,0,4
80.234.112.168,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,55352,16,18,1065,104,1.04146146774292,99.85967145322358,0,4
80.234.112.168,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,55354,16,18,1065,104,0.8872959613800049,117.21004549400807,0,4
36.91.19.250,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,45694,18,9,1065,88,1.4552757740020752,60.469638519437424,0,4
34.117.173.118,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,26110,48,2,1065,88,0.3066246509552002,286.99584239512876,0,4
134.220.21.241,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,50452,16,4,1065,80,31.817124605178833,2.5143692584646224,0,4
142.11.20.29,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,59000,46,6,1065,80,33.36091113090515,2.39801603997227,0,4
142.11.20.29,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,59000,20,6,1065,80,33.36091113090515,2.39801603997227,0,4
213.164.13.113,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,49846,16,13,1065,80,0.7972464561462402,100.3453817615032,0,4
213.164.13.113,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,49846,20,43,1065,80,0.7972464561462402,100.3453817615032,0,4
213.164.13.113,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,49848,16,13,1065,80,0.7078742980957031,113.01441543394498,0,4
213.164.13.113,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,49848,20,43,1065,80,0.7078742980957031,113.01441543394498,0,4
213.164.13.113,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,49850,46,13,1065,80,0.7163898944854736,111.67103363100577,0,4
213.164.13.113,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,49850,20,43,1065,80,0.7163898944854736,111.67103363100577,0,4
213.164.13.113,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,49852,16,13,1065,80,0.723569393157959,110.56299610856477,0,4
213.164.13.113,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,49852,20,43,1065,80,0.723569393157959,110.56299610856477,0,4
36.91.19.250,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,45694,20,9,1065,80,4.4552757740020752,54.97239865403402,0,4
155.100.239.87,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,57870,46,4,1065,80,30.31592583656311,2.638877019006111,0,4
207.249.139.81,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,45202,24,56,1065,77,0.9722824096679688,79.19509726221958,0,4
207.249.139.81,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,45204,24,56,1065,77,1.4500789642333984,53.10055652086986,0,4
190.57.245.25,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,46858,24,17,1065,77,1.01790452003479,75.64560180690452,0,4
190.57.245.25,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,46860,24,17,1065,77,1.4689700603485107,52.41767826209601,0,4
190.57.245.25,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,46862,24,17,1065,77,1.2101259231567383,63.62974177029243,0,4
190.57.245.25,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,46864,24,17,1065,77,1.797377109527588,42.840202866630605,0,4
142.187.41.103,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,26110,20,4,1065,75,1,75.0,0,4
142.185.31.56,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,26110,20,4,1065,75,1,75.0,0,4
62.56.240.33,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,26110,20,4,1065,71,1,71.0,0,4
213.164.13.113,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,49846,18,13,1065,64,0.7972464561462402,80.27630540920256,0,4
213.164.13.113,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,49848,18,13,1065,64,0.7078742980957031,90.41153234715598,0,4
213.164.13.113,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,49850,48,13,1065,64,0.7163898944854736,89.33682690480461,0,4
213.164.13.113,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,49852,18,13,1065,64,0.723569393157959,88.45039688685182,0,4
209.104.255.182,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,45030,48,11,1065,60,0.20339584350585938,294.99127890620605,0,4
209.104.255.182,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,45032,18,11,1065,60,0.2209787368774414,271.5193364204857,0,4
209.104.255.182,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,45034,18,11,1065,60,0.22192740440368652,270.35867950250906,0,4
209.104.255.182,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,45036,18,11,1065,60,0.4749636650085449,126.32545270367272,0,4
209.104.255.182,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,45040,48,11,1065,60,0.20005035400390625,299.9244880057969,0,4
103.23.30.250,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,42222,18,9,1065,60,0.8053185939788818,74.50467485613949,0,4
178.32.110.134,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,46394,18,4,1065,60,28.196369409561157,2.1279335338703036,0,4
103.23.30.250,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,42224,18,9,1065,60,0.7968852519989014,75.29314898160861,0,4
192.3.183.226,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,58026,18,21,1065,60,46.687808513641357,3.5954391465454156,0,4
192.3.183.226,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,58028,18,21,1065,60,46.672898054122925,3.5986545233606235,0,4
192.3.183.226,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,58030,48,21,1065,60,46.605854988098145,3.613183424942804,0,4
192.3.183.226,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,58032,18,21,1065,60,46.728458404541016,3.586702285950792,0,4
80.234.112.168,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,55348,18,18,1065,60,4.474015235900879,40.705142347683804,0,4
80.234.112.168,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,55350,48,18,1065,60,0.9035947322845459,66.4014495174212,0,4
80.234.112.168,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,55352,18,18,1065,60,4.04146146774292,57.6113489153213,0,4
80.234.112.168,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,55354,18,18,1065,60,0.8872959613800049,67.62118009269696,0,4
45.126.79.12,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,36124,18,3,1065,52,30.929720401763916,1.6812308460775627,0,4
154.210.127.3,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,42044,18,3,1065,52,31.66544508934021,1.6421686116613334,0,4
103.23.30.250,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,42222,17,9,1065,52,0.8053185939788818,64.57071820865421,0,4
103.23.30.250,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,42224,17,9,1065,52,0.7968852519989014,65.25406245072746,0,4
178.32.110.134,210.117.181.96,tcp,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,46394,16,4,1065,52,28.196369409561157,1.8442090626875964,0,4
