saddr,daddr,proto,src_mac,dst_mac,sport,dport,flag,N_IN_Conn_P_SrcIP,N_IN_Conn_P_DstIP,length,time,datarate,dns,category
118.38.208.105,192.168.0.21,tcp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,80,58976,A,459,508,406708,2.7269277572631836,149145.13188577569,0,scan
118.38.208.105,192.168.0.21,tcp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,80,58976,PA,459,508,272860,2.7269277572631836,100061.32332374272,0,scan
210.117.181.103,239.255.255.250,udp,18:c0:4d:2b:68:a6,e4:5f:01:4b:75:25,51721,3702,0,49,126,33488,66.66801357269287,502.30985153750913,0,scan
210.117.181.61,239.255.255.250,udp,00:01:2e:64:7f:a2,e4:5f:01:4b:75:25,58080,3702,0,27,126,18444,72.0468156337738,256.0002109427568,0,scan
210.117.181.89,239.255.255.250,udp,00:d8:61:52:01:4c,e4:5f:01:4b:75:25,55118,3702,0,20,126,13680,27.641437768936157,494.90913296028975,0,scan
192.168.0.21,118.38.208.105,tcp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,58976,80,A,260,202,10140,2.7323484420776367,3711.093301222481,0,scan
192.168.0.1,239.255.255.250,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,2049,1900,0,17,126,5604,59.97373819351196,93.4408987800305,0,scan
210.117.180.128,224.0.0.251,udp,34:9f:7b:a8:2f:e6,e4:5f:01:4b:75:25,5353,5353,0,7,225,4338,81.46470642089844,53.25005380351014,1,scan
210.117.182.191,224.0.0.251,udp,70:5d:cc:fb:b9:be,e4:5f:01:4b:75:25,5353,5353,0,60,225,4236,97.30159521102905,43.534743606339696,1,scan
210.117.180.121,224.0.0.251,udp,b0:e5:f9:f2:56:80,e4:5f:01:4b:75:25,5353,5353,0,10,225,4204,61.02373290061951,68.89122969331366,1,scan
172.217.25.170,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,443,52979,0,9,508,4173,0.23671531677246094,17628.770528656725,0,scan
210.117.182.67,224.0.0.251,udp,f4:a9:97:cf:53:96,e4:5f:01:4b:75:25,5353,5353,0,7,225,4013,81.49645471572876,49.2414058255407,1,scan
192.168.0.21,8.8.4.4,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,49879,443,0,260,8,3178,0.2114253044128418,15031.313346459445,0,scan
8.8.4.4,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,443,49879,0,8,508,3084,0.09729647636413574,31696.93410538336,0,scan
192.168.0.21,172.217.25.170,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,52979,443,0,260,8,2133,0.2536008358001709,8410.85556074718,0,scan
210.117.181.60,224.0.0.251,udp,00:01:2e:64:7f:1d,e4:5f:01:4b:75:25,5353,5353,0,2,225,2085,0.031064510345458984,67118.392558368,1,scan
210.117.180.178,224.0.0.251,udp,a4:bb:6d:d3:e1:d6,e4:5f:01:4b:75:25,5353,5353,0,3,225,2002,57.78089141845703,34.64813281438054,1,scan
192.168.0.7,224.0.0.251,udp,dc:a6:32:cc:98:76,e4:5f:01:4b:75:25,5353,5353,0,4,225,1999,0.01989912986755371,100456.65379868924,1,scan
210.117.180.192,224.0.0.251,udp,50:eb:f6:81:18:e4,e4:5f:01:4b:75:25,5353,5353,0,2,225,1843,0.01580071449279785,116640.29502210554,1,scan
192.168.0.14,224.0.0.251,udp,70:5d:cc:ff:f0:72,e4:5f:01:4b:75:25,5353,5353,0,29,225,1662,76.06974577903748,21.84837063643766,1,scan
93.93.128.193,192.168.0.21,tcp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,80,59156,A,25,508,1604,0.6581058502197266,2437.2978897915295,0,scan
93.93.128.193,192.168.0.21,tcp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,80,59154,A,25,508,1552,0.4148564338684082,3741.0532253967453,0,scan
