saddr,daddr,proto,src_mac,dst_mac,sport,dport,flag,N_IN_Conn_P_SrcIP,N_IN_Conn_P_DstIP,length,time,datarate,dns,category
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,443,58813,0,138,200,5755,0.8682301044464111,6628.427153731814,0,scan
8.8.4.4,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,443,46442,0,41,200,4365,0.49382829666137695,8839.104663524628,0,scan
192.168.0.21,8.8.8.8,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,58813,443,0,280,184,3592,775.540137052536,4.631610703801232,0,scan
192.168.0.21,8.8.4.4,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,46442,443,0,280,75,3421,577.7555794715881,5.921189031404641,0,scan
8.8.4.4,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,443,51831,0,41,200,3380,0.051514625549316406,65612.43460392099,0,scan
192.168.0.21,8.8.4.4,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,48043,443,0,280,75,3183,577.7555794715881,5.509250127729018,0,scan
8.8.4.4,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,443,48043,0,41,200,3084,0.08659887313842773,35612.47263656937,0,scan
192.168.0.21,8.8.4.4,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,51831,443,0,280,75,2785,577.7555794715881,4.820377507296675,0,scan
192.168.0.5,192.168.0.21,tcp,b8:27:eb:51:65:6f,e4:5f:01:4b:75:25,5397,23,S,21,200,840,905.5629115104675,0.9275998269395669,0,scan
192.168.0.21,192.168.0.5,tcp,e4:5f:01:4b:75:25,b8:27:eb:51:65:6f,23,5397,RA,280,21,840,905.5638139247894,0.9275989025658717,0,scan
192.168.0.21,8.8.8.8,tcp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,41596,443,A,280,184,312,775.540137052536,0.40230026157738985,0,scan
8.8.8.8,192.168.0.21,tcp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,443,41596,A,138,200,260,194.57837390899658,1.3362224936754832,0,scan
192.168.0.21,8.8.8.8,tcp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,41592,443,A,280,184,260,775.540137052536,0.33525021798115817,0,scan
192.168.0.21,8.8.4.4,tcp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,48048,443,A,280,75,260,577.7555794715881,0.45001728972967164,0,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,45128,0,138,200,252,34.03832674026489,7.403419149329163,1,scan
192.168.0.21,8.8.8.8,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,51396,53,0,280,184,236,745.0319881439209,0.3167649225208984,1,scan
192.168.0.21,8.8.8.8,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,51671,53,0,280,184,236,745.0319881439209,0.3167649225208984,1,scan
192.168.0.21,8.8.8.8,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,37539,53,0,280,184,236,745.0319881439209,0.3167649225208984,1,scan
192.168.0.21,8.8.8.8,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,55289,53,0,280,184,236,745.0319881439209,0.3167649225208984,1,scan
192.168.0.21,8.8.8.8,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,47227,53,0,280,184,236,745.0319881439209,0.3167649225208984,1,scan
192.168.0.21,8.8.4.4,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,53760,53,0,280,75,236,583.1761438846588,0.4046804768589374,1,scan
192.168.0.21,8.8.8.8,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,58858,53,0,280,184,236,745.0319881439209,0.3167649225208984,1,scan
192.168.0.21,8.8.4.4,udp,e4:5f:01:4b:75:25,70:5d:cc:57:c7:b4,37685,53,0,280,75,236,583.1761438846588,0.4046804768589374,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,56576,0,138,200,221,0.0040128231048583984,55073.44685401937,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,35533,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,40399,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,51396,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,49891,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,37735,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,43477,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,47765,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,60794,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,48979,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,46142,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,43778,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,51671,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,39808,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,43222,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,34802,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,35664,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,50177,0,138,200,182,1,182.0,1,scan
8.8.4.4,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,46584,0,41,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,40552,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,36693,0,138,200,182,1,182.0,1,scan
8.8.4.4,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,37829,0,41,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,43745,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,60375,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,34230,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,41572,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,50532,0,138,200,182,1,182.0,1,scan
8.8.8.8,192.168.0.21,udp,70:5d:cc:57:c7:b4,e4:5f:01:4b:75:25,53,35239,0,138,200,182,1,182.0,1,scan
