saddr,daddr,proto,src_mac,dst_mac,sport,dport,flag,N_IN_Conn_P_SrcIP,N_IN_Conn_P_DstIP,length,time,datarate,dns,scan
210.117.181.96,172.217.25.170,1,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,48893,443,0,8873,24,6086,3.1689815521240234,1920.4908264362828,0,0
210.117.181.96,8.8.4.4,1,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,41836,443,0,8873,12,5382,1.1091907024383545,4852.186362695476,0,0
172.217.25.170,210.117.181.96,1,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,443,48893,0,19,173,4296,1.1930720806121826,3600.788309282755,0,0
172.217.25.170,210.117.181.96,1,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,443,45537,0,19,173,4162,0.6146750450134277,6771.057380260297,0,0
8.8.4.4,210.117.181.96,1,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,443,41836,0,8,173,3380,0.11306142807006836,29895.253029223095,0,0
210.117.181.96,172.217.25.170,1,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,45537,443,0,8873,24,2401,3.1689815521240234,757.6566668211493,0,0
210.117.181.96,210.117.184.177,1,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,1900,65351,0,8873,3,990,6.128909111022949,161.52956130797696,0,0
210.117.181.96,210.117.181.100,1,70:5d:cc:57:c7:b5,18:c0:4d:2b:73:a0,1900,60234,0,8873,1,330,1,330.0,0,0
210.117.181.96,210.117.181.83,1,70:5d:cc:57:c7:b5,38:d5:47:13:85:37,1900,49285,0,8873,1,330,1,330.0,0,0
210.117.181.96,168.221.100.195,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,41322,23,2,8873,5,180,4.646783828735352,38.73646948818534,0,2
210.117.181.96,210.117.181.86,0,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,36526,20223,24,8873,7,169,10.275211334228516,16.44735027853214,0,0
210.117.181.86,210.117.181.96,0,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20223,36526,16,5,173,132,10.272418975830078,12.849943164368794,0,0
210.117.181.96,8.8.4.4,5,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,0,0,0,8873,12,117,1,117.0,0,0
210.117.181.96,8.8.8.8,1,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,57673,53,0,8873,6,112,42.374220848083496,2.6431164457638765,0,0
140.82.112.25,210.117.181.96,0,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,443,52702,16,3,173,104,46.362550258636475,2.243189803404457,0,0
8.8.4.4,210.117.181.96,1,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,53,47827,0,8,173,97,1,97.0,0,0
154.54.86.158,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,96,1,96.0,0,0
154.54.42.166,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,96,1,96.0,0,0
61.206.183.205,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,96,1,96.0,0,0
