saddr,daddr,proto,src_mac,dst_mac,sport,dport,flag,N_IN_Conn_P_SrcIP,N_IN_Conn_P_DstIP,length,time,datarate,dns,category
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,35678,16,703,703,61540,0.2901928424835205,212065.87823920825,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,35678,24,703,703,58500,0.2901928424835205,201590.08574900363,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,34176,24,703,703,46500,0.6207845211029053,74905.21818647579,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,34174,24,703,703,36000,0.3257722854614258,110506.63793885778,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,47104,24,703,703,31500,1.0799236297607422,29168.729280401843,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,34178,24,703,703,30000,0.6939947605133057,43227.992064105536,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,47108,16,703,703,21164,0.8179976940155029,25872.933572840724,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,34174,16,703,703,19500,0.3257722854614258,59857.762216881296,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,51880,24,703,703,16500,0.3205709457397461,51470.66575832309,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,47102,24,703,703,15000,0.9028160572052002,16614.680122587433,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,47108,24,703,703,13500,0.8179976940155029,16503.714006489783,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,51876,24,703,703,12000,0.32062602043151855,37426.78146910737,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,51882,24,703,703,12000,0.385286808013916,31145.62904932519,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,34176,16,703,703,9000,0.6207845211029053,14497.784165124345,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,34178,16,703,703,7787,0.6939947605133057,11220.545806772994,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,51878,16,703,703,7623,0.4119706153869629,18503.74690641403,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,51876,16,703,703,7500,0.32062602043151855,23391.738418192108,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,37998,20223,16,812,812,7020,10.874590873718262,645.5415271728479,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,47102,16,703,703,6040,0.9028160572052002,6690.177862695207,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,51882,16,703,703,6040,0.385286808013916,15676.633288160345,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,51878,24,703,703,6000,0.4119706153869629,14564.145538303057,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20223,37998,16,703,703,5535,10.887855529785156,508.3645704940042,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,47104,16,703,703,4540,1.0799236297607422,4204.000982000774,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,35678,20225,16,812,812,2600,432.9529404640198,6.005271605762593,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51880,20225,16,812,812,2220,432.9529404640198,5.127578063381906,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,34174,20225,16,812,812,1960,432.9529404640198,4.527050902805646,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,34176,20225,16,812,812,1952,432.9529404640198,4.508573144018684,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,47104,20225,16,812,812,1756,432.9529404640198,4.05586805373812,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20225,51880,16,703,703,1663,0.3205709457397461,5187.619221581292,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,47102,20225,16,812,812,1580,432.9529404640198,3.64935736042496,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,47108,20225,16,812,812,1436,432.9529404640198,3.316757702259647,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,34178,20225,16,812,812,1156,432.9529404640198,2.6700361447159833,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51876,20225,16,812,812,1040,432.9529404640198,2.402108642305037,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51882,20225,16,812,812,920,432.9529404640198,2.1249422605006094,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51878,20225,16,812,812,844,432.9529404640198,1.9494035520244721,0,scan
210.117.181.86,210.117.181.94,tcp,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20224,43484,18,703,703,208,7.018500566482544,29.63595970816359,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,47058,20225,24,812,812,138,432.9529404640198,0.31874133907509145,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,47060,20225,24,812,812,138,432.9529404640198,0.31874133907509145,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,47062,20225,24,812,812,138,432.9529404640198,0.31874133907509145,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,35636,20225,24,812,812,138,432.9529404640198,0.31874133907509145,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,35638,20225,24,812,812,138,432.9529404640198,0.31874133907509145,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,35640,20225,24,812,812,138,432.9529404640198,0.31874133907509145,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,35646,20225,24,812,812,138,432.9529404640198,0.31874133907509145,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,35648,20225,24,812,812,138,432.9529404640198,0.31874133907509145,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,35650,20225,24,812,812,138,432.9529404640198,0.31874133907509145,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,47070,20225,24,812,812,138,432.9529404640198,0.31874133907509145,0,scan
210.117.181.94,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,47072,20225,24,812,812,138,432.9529404640198,0.31874133907509145,0,scan
