saddr,daddr,proto,src_mac,dst_mac,sport,dport,flag,N_IN_Conn_P_SrcIP,N_IN_Conn_P_DstIP,length,time,datarate,dns,category
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51634,20223,16,957,957,212,598.3864617347717,0.354286090272488,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51612,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51614,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51616,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51618,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51620,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51622,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51624,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51626,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51628,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51632,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51636,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51638,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51640,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51642,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51644,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51648,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51650,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51652,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
