saddr,daddr,proto,src_mac,dst_mac,sport,dport,flag,N_IN_Conn_P_SrcIP,N_IN_Conn_P_DstIP,length,time,datarate,dns,category
210.117.181.96,15.164.81.167,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,43506,443,24,13289,21,2268,56.36023426055908,40.241138628253495,0,scan
210.117.181.96,140.82.112.25,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,47964,443,24,13289,25,1289,30.542614459991455,42.20332878472122,0,scan
210.117.181.96,140.82.112.25,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,47960,443,24,13289,25,1253,30.542614459991455,41.02464776358083,0,scan
210.117.181.96,8.8.8.8,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,45076,443,24,13289,26,871,44.78444480895996,19.448717154259334,0,scan
210.117.181.96,8.8.8.8,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,45074,443,24,13289,26,755,44.78444480895996,16.85853209123513,0,scan
210.117.181.96,15.164.81.167,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,43508,443,24,13289,21,685,56.36023426055908,12.153959418145345,0,scan
210.117.181.96,140.82.112.25,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,47958,443,24,13289,25,569,30.542614459991455,18.6297083619134,0,scan
210.117.181.96,216.58.220.106,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,35126,443,24,13289,5,411,2.00370192527771,205.12032993282475,0,scan
210.117.181.96,15.164.81.167,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,43506,443,16,13289,21,364,56.36023426055908,6.458454347744388,0,scan
210.117.181.96,8.8.8.8,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,45078,443,24,13289,26,290,44.78444480895996,6.475462657560513,0,scan
210.117.181.96,58.221.156.26,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,46976,23,16,13289,14,240,51.962854623794556,4.618683899057779,0,scan
210.117.181.96,58.221.156.26,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,46976,23,24,13289,14,213,51.962854623794556,4.09908196041378,0,scan
210.117.181.96,8.8.8.8,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,45078,443,16,13289,26,208,44.78444480895996,4.644469768181334,0,scan
210.117.181.96,140.82.112.25,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,47958,443,16,13289,25,208,30.542614459991455,6.81015701103337,0,scan
210.117.181.96,8.8.8.8,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,45076,443,2,13289,26,180,44.78444480895996,4.019252684003077,0,scan
210.117.181.96,58.221.156.26,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,46976,23,2,13289,14,180,51.962854623794556,3.4640129242933346,0,scan
210.117.181.96,78.135.62.177,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,36530,23,2,13289,7,180,6.810706615447998,26.42897575293072,0,scan
210.117.181.96,5.50.112.192,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,49772,23,2,13289,8,180,13.37888789176941,13.454033059858036,0,scan
210.117.181.96,15.164.81.167,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,43508,443,16,13289,21,156,56.36023426055908,2.767909006176166,0,scan
210.117.181.96,8.8.8.8,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,45074,443,16,13289,26,156,44.78444480895996,3.4833523261360004,0,scan
210.117.181.96,140.82.112.25,tcp,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,47960,443,16,13289,25,156,30.542614459991455,5.107617758275028,0,scan
